City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Kysyl-Syr,RU,63.8986,122.7617,-20.69,96,99,7.09,overcast clouds
280,Olafsvik,IS,64.8945,-23.7142,35.6,64,100,18.16,overcast clouds
281,Salalah,OM,17.0151,54.0924,64.49,52,0,6.91,clear sky
282,Havelock,US,34.8791,-76.9013,42.78,83,54,4.0,broken clouds
283,Gazli,UZ,40.1333,63.45,43.07,62,100,7.54,overcast clouds
284,Cockburn Town,TC,21.4612,-71.1419,75.52,75,30,21.68,scattered clouds
285,Zeya,RU,53.75,127.2667,3.56,54,34,3.13,scattered clouds
286,Wilhelmshaven,DE,53.5167,8.1333,43.02,75,100,27.51,overcast clouds
287,Abu Dhabi,AE,24.4667,54.3667,68.11,82,40,11.5,scattered clouds
288,Exeter,US,36.2961,-119.1421,50.76,79,33,2.28,scattered clouds
289,Kumbo,CM,6.2,10.6667,58.03,33,48,4.14,scattered clouds
290,Araouane,ML,18.9048,-3.5265,65.48,20,63,11.97,broken clouds
291,Bail Hongal,IN,15.8167,74.8667,71.24,27,6,2.15,clear sky
292,Latung,PH,5.5,120.8833,81.3,73,100,0.69,overcast clouds
293,Mao,TD,14.1212,15.3103,56.86,18,2,9.8,clear sky
294,Chumikan,RU,54.7183,135.315,0.25,73,23,14.67,few clouds
295,Westport,IE,53.8,-9.5167,52.83,100,95,11.14,overcast clouds
296,Padang,ID,-0.9492,100.3543,82.45,75,100,2.62,overcast clouds
297,Cooma,AU,-36.2333,149.1333,56.97,71,100,14.97,overcast clouds
298,Tuy Hoa,VN,13.0833,109.3,76.53,84,68,11.14,broken clouds
299,Juneau,US,58.3019,-134.4197,25.21,75,100,3.44,overcast clouds
300,Uvira,CD,-3.4067,29.1458,71.42,85,100,3.94,light rain
301,Galle,LK,6.0367,80.217,76.93,73,10,7.7,clear sky
302,Baykit,RU,61.67,96.37,-9.11,100,93,0.94,overcast clouds
303,Tongzi,CN,28.7829,105.0877,42.39,89,100,1.97,overcast clouds
304,Foumban,CM,5.7291,10.9001,63.72,54,64,3.04,broken clouds
305,Viedma,AR,-40.8135,-62.9967,68.67,55,100,15.12,overcast clouds
306,Graaff-Reinet,ZA,-32.2522,24.5308,73.92,73,99,6.8,overcast clouds
307,Taoudenni,ML,22.6783,-3.9836,66.42,25,50,11.79,scattered clouds
308,Port Hardy,CA,50.6996,-127.4199,39.76,93,100,2.3,overcast clouds
309,Juybar,IR,36.6412,52.9124,41.09,49,0,5.5,clear sky
310,Marand,IR,38.4329,45.7749,21.54,88,42,3.53,scattered clouds
311,Mahon,ES,39.8885,4.2658,52.36,87,20,13.8,few clouds
312,Harper,LR,4.375,-7.7169,78.1,81,100,3.13,overcast clouds
313,Saldanha,ZA,-33.0117,17.9442,66.25,96,78,12.19,broken clouds
314,Yorosso,ML,12.3536,-4.7761,67.75,9,100,10.16,overcast clouds
315,Guerrero Negro,MX,27.9769,-114.0611,60.28,74,96,11.72,overcast clouds
316,Shangqiu,CN,34.45,115.65,39.9,29,98,4.7,overcast clouds
317,Kupang,ID,-10.1667,123.5833,83.37,74,27,15.17,scattered clouds
318,Fukue,JP,32.6881,128.8419,44.96,65,75,10.36,broken clouds
319,Fortuna,US,40.5982,-124.1573,47.93,80,100,1.01,overcast clouds
320,San Patricio,MX,19.2167,-104.7,70.36,66,0,8.1,clear sky
321,Sisimiut,GL,66.9395,-53.6735,5.65,89,100,11.81,light snow
322,Catamarca,AR,-28.4696,-65.7852,85.77,43,100,4.0,heavy intensity rain
323,Ornskoldsvik,SE,63.2909,18.7153,14.95,92,100,4.61,overcast clouds
324,Hualmay,PE,-11.0964,-77.6139,71.04,79,70,8.86,broken clouds
325,Palmer,US,42.1584,-72.3287,30.54,82,99,2.64,overcast clouds
326,Hasaki,JP,35.7333,140.8333,50.29,32,0,24.32,clear sky
327,Cerritos,MX,22.4333,-100.2833,63.93,41,0,4.34,clear sky
328,Qaqortoq,GL,60.7167,-46.0333,14.5,90,8,4.81,clear sky
329,Santo Antonio Do Ica,BR,-3.1022,-67.9397,73.27,99,100,0.56,overcast clouds
330,Caninde De Sao Francisco,BR,-9.66,-37.7894,76.28,72,28,7.07,scattered clouds
331,El Carmen,CO,8.5106,-73.4478,67.17,72,2,4.41,clear sky
332,Bahir Dar,ET,11.5936,37.3908,62.22,55,63,3.04,broken clouds
333,Hovd,MN,48.0056,91.6419,-3.64,83,100,0.83,overcast clouds
334,Sept-Iles,CA,50.2001,-66.3821,2.05,70,100,4.0,overcast clouds
335,Manokwari,ID,-0.8667,134.0833,82.31,71,100,5.66,overcast clouds
336,Qingyuan,CN,23.7,113.0333,49.98,88,100,5.59,overcast clouds
337,Zuya,UA,45.0531,34.3154,35.37,86,100,5.12,overcast clouds
338,Najran,SA,17.4924,44.1277,59.65,36,1,4.76,clear sky
339,Broken Hill,AU,-31.95,141.4333,65.91,39,99,21.85,overcast clouds
340,Aloleng,PH,16.1307,119.7824,83.05,57,7,11.95,clear sky
341,Rabo De Peixe,PT,37.8,-25.5833,56.71,95,20,4.61,few clouds
342,Kurchum,KZ,48.5722,83.6542,-10.68,89,5,0.96,clear sky
343,Muros,ES,42.7762,-9.0603,48.7,86,0,5.61,clear sky
344,Geraldton,AU,-28.7667,114.6,100.81,17,0,28.77,clear sky
345,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,59,0,5.75,clear sky
